ROI
BA1_L
BA2_L
BA3_L
BA4_L
BA5_L
BA6_L
BA7_L
BA8_L
BA9_L
BA10_L
BA11_L
BA17_L
BA18_L
BA19_L
BA20_L
BA21_L
BA22_L
BA23_L
BA24_L
BA25_L
BA26_L
BA27_L
BA28_L
BA29_L
BA30_L
BA32_L
BA34_L
BA35_L
BA36_L
BA37_L
BA38_L
BA39_L
BA40_L
BA41_L
BA42_L
BA43_L
BA44_L
BA45_L
BA46_L
BA47_L
BA48_L
BA48_R
BA47_R
BA46_R
BA45_R
BA44_R
BA43_R
BA42_R
BA41_R
BA40_R
BA39_R
BA38_R
BA37_R
BA36_R
BA35_R
BA34_R
BA32_R
BA30_R
BA29_R
BA28_R
BA27_R
BA26_R
BA25_R
BA24_R
BA23_R
BA22_R
BA21_R
BA20_R
BA19_R
BA18_R
BA17_R
BA11_R
BA10_R
BA9_R
BA8_R
BA7_R
BA6_R
BA5_R
BA4_R
BA3_R
BA2_R
BA1_R
